X Position (mm),Y Position (mm),Rotation Angle (deg)
23.061846153846158,-9.176196265734252,-121.55394732433824
20.464565384615383,-13.405629321678333,-131.49128426460288
19.258920069930067,-13.47594005594408,114.76001449338659
19.169521678321672,-10.597753296037322,84.9514451605815
19.920981678321674,-5.981693869463882,78.03386151684549
21.237911538461606,-0.8383866037296184,69.65307254255045
22.86592620046627,1.9595305641025627,55.200008284865646
24.50496836829845,3.8622935827505915,26.353512456167763
25.450237202797286,3.2397812400932535,-75.18965932770719
25.551693589743678,-0.09650926107224828,-94.86122896577405
24.63757247086256,-6.315514051282043,-104.37914354959631
22.930751072261156,-10.319854508158514,-120.50893900114191
20.35094447552456,-13.590168755244772,-132.0291148826434
17.597992307692387,-16.236434214452245,-138.90530797907306
15.677978018648089,-17.66589491841496,-137.54948850229877
14.413653440559505,-19.14928731934737,-139.83196599485197
13.156571652680713,-19.794238321678378,-166.0080549994197
12.010123254079307,-19.748195804195866,-171.42724549405406
10.60476040093245,-20.178922377622442,-164.45738576118063
9.178997939393984,-20.53560442890449,-167.20001325251852
7.739408093240133,-20.82991375291382,-169.4815490064955
6.290460494172528,-21.071925407925473,-171.38300569034834
4.835185692307722,-21.270017249417318,-172.97932892171195
3.375583128205153,-21.43089487179494,-174.3333388162286
1.9129860885781085,-21.55997435897443,-175.4947484777864
0.4483257622377772,-21.66154498834506,-176.50831655654326
-1.017734146853137,-21.73879790209797,-177.41688632989238
-2.484745529137524,-21.793868764568835,-178.26068866098
-3.9523861165501164,-21.82791165501173,-179.07652199445639
-5.420391165501169,-21.841188811188886,-179.8993579004447
-6.888470172494182,-21.833068997669073,179.23211488596908
-8.356325944055959,-21.801838694638768,178.2718111712893
-9.823533146853165,-21.74451305361313,177.17160900160022
-11.289470909090934,-21.656927039627114,175.87827266263798
-12.753104475524504,-21.53340209790217,174.32472320937646
-14.212764335664367,-21.36641748251756,172.43108486260644
-15.66568344988349,-21.146389277389353,170.10811864774587
-17.107373892773936,-20.861649883449957,167.26741284707714
-18.530926806526857,-20.498966200466274,163.8350961166109
-19.926496270396324,-20.044491375291447,159.7756806254762
-21.281406993007053,-19.48566083916091,155.1217719622477
-22.58121375291382,-18.813438461538528,149.98215317005528
-23.81129720279727,-18.023977156177224,144.5364062730796
-24.959041958042032,-17.119628671328737,139.01263315060567
-26.015580885780967,-16.108675710955776,133.64864645031844
-26.977010722610803,-15.004152167832228,128.6508782108357
-27.844568531468617,-13.821710536130597,124.16169143776168
-28.62392564102573,-12.577301701631754,120.24820896750707
-29.323609090909184,-11.285375617715667,116.90393516532811
-29.95319207459217,-9.957620372960418,114.0701290063234
-30.521895337995435,-8.602821958041996,111.6627221796121
-31.03766037296047,-7.227302400932437,109.58761202895889
-31.50664638694649,-5.835426475524509,107.75726854758541
-31.93340582750593,-4.430216545454574,106.09564949261208
-32.32084638694649,-3.0137602913753145,104.53080013080405
-32.67022773892784,-1.5874427039627228,102.99603943834872
-32.981292773892875,-0.15215024475525873,101.42572698901493
-33.25208671328682,1.2915836946386854,99.74599481791432
-33.4786442890444,2.743477832167828,97.86816074128859
-33.654476223776335,4.203332948717949,95.6782235146698
-33.76968927738939,5.670629277389283,93.0173242204263
-33.80945431235443,7.143481107226117,89.67239847213699
-33.752845687645795,8.616452191142207,85.40270546226418
-33.57354219114231,10.07732595104897,80.00732813503457
-33.24386853146865,11.505165531468558,73.41400507657724
-32.74123892773904,12.871726421911454,65.74132841204823
-32.053889510489626,14.145753717948754,57.31566252211581
-31.18400489510501,15.298826876456918,48.63233049556881
-30.14773286713298,16.31032503496508,40.24814442027562
-28.97240862470873,17.170958368298418,32.64996881995583
-27.69160582750593,17.884103613053668,26.152253156190664
-26.338662703962807,18.464196923076976,20.86324299892203
-24.941026340326438,18.93242638694645,16.70655956611079
-23.517298368298462,19.31099888111894,13.485139054616946
-22.07825034965044,19.61893282051288,10.971430326682366
-20.629747319347402,19.870787855477918,8.970688888434633
-19.17500396270404,20.077239510489573,7.343937601799008
-17.71603146853154,20.246314755244825,5.996152472835651
-16.254111048951117,20.384039417249483,4.859572525162603
-14.790112494172558,20.49507494172501,3.8875995371729766
-13.324683986014046,20.58311076923084,3.0438830399043066
-11.858249790209843,20.65097913752921,2.2977172509840877
-10.39113557109562,20.70081717948725,1.6245696931896454
-8.923583519813564,20.7342112354313,1.0045664052137107
-7.455770629370668,20.75228818181825,0.41980741672060934
-5.987867072261106,20.75572167832175,-0.14767209042075474
-4.519997447552477,20.744721608391675,-0.7159173570723498
-3.0522935664335895,20.719039440559513,-1.3026352309612814
-1.5849080023310214,20.677980046620114,-1.9266503764802945
-0.1180329930070069,20.620333636363707,-2.6102039620130495
1.3480834918414826,20.54427025641033,-3.3804457527810654
2.8131028857808817,20.447195944056013,-4.27128143099204
4.276540275058276,20.32555456876464,-5.325032169017851
5.737693212121218,20.17460111888119,-6.598519828070368
7.195488876456887,19.98789710955718,-8.176047585445586
8.648120158508176,19.75644407925415,-10.181282764501798
10.092288920745942,19.46765741258748,-12.800278209104935
11.521041510489535,19.10371769230776,-16.278260019410055
12.920821568764602,18.641701468531537,-20.864759651389903
14.268708498834537,18.056421655011725,-26.72167040810544
15.533409841491883,17.3264681351982,-33.82878336870936
16.68035214452219,16.440211888111953,-41.82191079598753
17.328359930069976,15.720361958042021,-54.268213791932936
18.183390303030354,14.35095980885787,-58.97023824225044
19.216549324009375,12.581581351981407,-59.12170400553252
20.403430116550172,10.638352762237814,-57.072887980997905
21.718893799533863,8.717556137529181,-49.050303827769845
23.839867692307767,6.67816672727276,-44.213037115657606
25.16281013986022,5.366968808857836,-45.937854560892404
25.740532144522227,4.714238459207482,-57.522839052094895
25.628429160839246,4.63545003030305,159.52293190323695
24.879895477855563,5.03562477156179,144.39449124484236
22.92817981351989,6.569031403263429,153.24876998812078
22.04050041958049,6.466874142191168,-127.13529214922242
22.09860529137536,5.473540475524499,-65.54365950639469
23.18822745920753,3.9433229044289226,-45.52395399508061
25.298003939394018,2.21508489743591,-24.601258403077765
28.766762890442976,1.3891217668997824,-17.551051807960302
30.57296452214462,0.5467274009324141,-36.36668334277408
31.28590993007003,-0.4658935034964934,-81.6126201609314
30.868393752913857,-1.456969261072255,-137.90226383334902
29.32876424242435,-2.2341698764568747,-163.17541081241927
26.20036631701641,-2.86851607459208,-155.66493604990333
24.362012331002425,-4.480404594405604,-132.34601536055774
23.393804731934818,-5.947915048951061,-113.11813180702954
23.31603715617724,-6.9305102587412755,-59.80853894423706
24.048334965035046,-7.072896200466219,20.205251069768757
25.677792657342692,-6.061307668997664,33.70341478317332
27.04592468531474,-5.073494242424221,38.347714796742984
27.634354195804278,-4.513461083916045,112.80645583166618
26.92470433566445,-4.7852133566432995,-151.19424509019973
24.39859825174841,-6.29275622377614,-149.17187030349712
